ÿþVerifying Test Patients...
Found Users:
PATH0001 | yaw.adom.1768218659084@example.com | Yaw Adom
PATH0002 | kojo.boateng.1768218659385@example.com | Kojo Boateng
PATH0003 | yaw.sarpong.1768218659666@example.com | Yaw Sarpong
PATH0004 | abena.appiah.1768218659690@example.com | Abena Appiah
PATH0005 | grace.boakye.1768218659033@example.com | Grace Boakye
PATH0006 | grace.sarpong.1768218659202@example.com | Grace Sarpong
PATH0007 | grace.sarpong.1768218659282@example.com | Grace Sarpong
PATH0008 | emmanuel.adom.1768218659046@example.com | Emmanuel Adom
PATH0009 | kojo.mensah.1768218659160@example.com | Kojo Mensah
PATH0010 | emmanuel.boakye.1768218659536@example.com | Emmanuel Boakye
PATH0011 | abena.boakye.1768218659060@example.com | Abena Boakye
PATH0012 | akosua.owusu.1768218659612@example.com | Akosua Owusu
